adress,rooms,size,measure,level,repair,wall,price,status
 Мирабадский район,4,188,,6/7,Евроремонт,Кирпичный,1 700,аренду
 Янгихаётский район,2,74,,5/8,Авторский проект,Кирпичный,400,аренду
 Мирабадский район,4,173,,6/7,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,4,183,,6/8,Евроремонт,Кирпичный,1 500,аренду
 Мирабадский район,90 м²,1/9,,Евроремонт,Панельный,Телефонная линия,1 500,аренду
 Мирабадский район,4,104,,6/9,Евроремонт,Монолитный,800,аренду
 Шайхантахурский район,3,73,,2/9,Евроремонт,Панельный,550,аренду
 Юнусабадский район,48 м²,1/9,,Евроремонт,Панельный,Телефонная линия,800,аренду
 Чиланзарский район,2,37,,1/4,Евроремонт,Панельный,400,аренду
 Мирабадский район,3,175,,5/6,Авторский проект,Кирпичный,3 000,аренду
 Мирабадский район,69 м²,1/4,,Евроремонт,Другое,Телефонная линия,800,аренду
 Олмазорский район,90 м²,2/3,,Евроремонт,Кирпичный,Телефонная линия,600,аренду
 Шайхантахурский район,3,90,,5/5,Авторский проект,Панельный,500,аренду
 Яккасарайский район,2,65,,3/8,Евроремонт,Кирпичный,1 000,аренду
 Юнусабадский район,2,50,,5/9,Евроремонт,Панельный,700,аренду
 Мирзо-Улугбекский район,2,50,,3/5,Евроремонт,Кирпичный,600,аренду
 Шайхантахурский район,2,59,,7/10,Евроремонт,Кирпичный,1 400,аренду
 Чиланзарский район,3,80,,2/4,Евроремонт,Кирпичный,700,аренду
 Яшнободский район,1,35,,4/4,Авторский проект,Панельный,280,аренду
 Шайхантахурский район,2,50,,6/9,Евроремонт,Панельный,600,аренду
 Юнусабадский район,3,70,,6/9,Евроремонт,Панельный,600,аренду
 Шайхантахурский район,2,50,,3/9,Евроремонт,Панельный,750,аренду
 Чиланзарский район,2,50,,4/4,Средний,Кирпичный,400,аренду
 Чиланзарский район,1,40,,3/4,Евроремонт,Кирпичный,400,аренду
 Мирзо-Улугбекский район,1,40,,2/4,Евроремонт,Кирпичный,350,аренду
 Мирабадский район,177 м²,5/7,,Евроремонт,Другое, ,3 000,аренду
 Чиланзарский район,2,50,,1/4,Евроремонт,Кирпичный,750,аренду
 Мирабадский район,3,90,,3/5,Евроремонт,Кирпичный,1 000,аренду
 Учтепинский район,3,65,,2/5,Средний,Кирпичный,400,аренду
 Юнусабадский район,2,50,,4/4,Евроремонт,Панельный,550,аренду
 Учтепинский район,2,45,,4/9,Евроремонт,Монолитный,400,аренду
 Шайхантахурский район,2,70,,6/9,Авторский проект,Панельный,900,аренду
 Яшнободский район,2,60,,2/5,Средний,Панельный,500,аренду
 Шайхантахурский район,3,120,,5/5,Средний,Панельный,550,аренду
 Чиланзарский район,2,46,,3/4,Евроремонт,Кирпичный,400,аренду
 Яккасарайский район,2,50,,4/9,Евроремонт,Другое,700,аренду
 Юнусабадский район,1,45,,2/4,Евроремонт,Другое,600,аренду
 Чиланзарский район,3,6,,3/4,Средний,Панельный,600,аренду
 Мирабадский район,2,68,,4/9,Авторский проект,Другое,700,аренду
 Чиланзарский район,1,37,,6/7,Евроремонт,Кирпичный,550,аренду
 Шайхантахурский район,2,50,,4/4,Евроремонт,Кирпичный,550,аренду
 Яшнободский район,1,36,,7/9,Евроремонт,Монолитный,550,аренду
 Чиланзарский район,1,41,,2/2,Средний,Кирпичный,250,аренду
 Яшнободский район,2,40,,2/4,Средний,Панельный,350,аренду
 Мирабадский район,3,105,,2/8,Авторский проект,Кирпичный,2 000,аренду
 Мирабадский район,5,150,,8/12,Средний,Другое,800,аренду
 Юнусабадский район,3,77,,4/9,Евроремонт,Кирпичный,900,аренду
 Юнусабадский район,3,75,,6/9,Евроремонт,Другое,800,аренду
 Чиланзарский район,3,85,,1/5,Авторский проект,Кирпичный,1 200,аренду
 Яшнободский район,2,54,,3/4,Средний,Панельный,550,аренду
 Чиланзарский район,3,82,,1/4,Авторский проект,Кирпичный,1 200,аренду
 Шайхантахурский район,2,53,,3/7,Евроремонт,Кирпичный,1 200,аренду
 Чиланзарский район,2,65,,1/4,Авторский проект,Кирпичный,750,аренду
 Мирзо-Улугбекский район,42 м²,4,,Средний,Панельный, ,500,аренду
 Мирзо-Улугбекский район,3,90,,3/4,Евроремонт,Кирпичный,800,аренду
 Мирабадский район,4,110,,5/10,Евроремонт,Кирпичный,1 300,аренду
 Яшнободский район,2,68,,7/9,Авторский проект,Другое,650,аренду
 Мирзо-Улугбекский район,40 м²,2/5,,Средний,Панельный,Стиральная машина,300,аренду
 Юнусабадский район,2,45,,1/2,Средний,Кирпичный,400,аренду
 Яккасарайский район,3,70,,4/8,Авторский проект,Кирпичный,900,аренду
 Яшнободский район,3,85,,4/8,Евроремонт,Кирпичный,900,аренду
 Шайхантахурский район,2,40,,4/5,Авторский проект,Кирпичный,1 200,аренду
 Мирабадский район,3,104,,2/8,Авторский проект,Кирпичный,2 000,аренду
