adress,rooms,size,floor,level,repair,wall,price
 Чиланзарский район,3,85.0,1,5,Авторский проект,Кирпичный,1200.0
 Яшнободский район,2,54.0,3,4,Средний,Панельный,550.0
 Чиланзарский район,3,82.0,1,4,Авторский проект,Кирпичный,1200.0
 Шайхантахурский район,2,53.0,3,7,Евроремонт,Кирпичный,1200.0
 Чиланзарский район,2,65.0,1,4,Авторский проект,Кирпичный,750.0
 Мирзо-Улугбекский район,3,90.0,3,4,Евроремонт,Кирпичный,800.0
 Мирабадский район,4,110.0,5,10,Евроремонт,Кирпичный,1300.0
 Юнусабадский район,2,45.0,1,2,Средний,Кирпичный,400.0
 Яккасарайский район,3,70.0,4,8,Авторский проект,Кирпичный,900.0
 Яшнободский район,3,85.0,4,8,Евроремонт,Кирпичный,900.0
 Шайхантахурский район,2,40.0,4,5,Авторский проект,Кирпичный,1200.0
 Мирабадский район,3,104.0,2,8,Авторский проект,Кирпичный,2000.0
